dgp	n	model	k_effective	irr	bias2	var	total	check_abs_err	mc_se
G2-irrelevant-dims	8	hgbt	100	0.11441717663835616	0.13558282336164384	0.0	0.25	0.0	0.0
G2-irrelevant-dims	12	lda	100	0.11441717663835616	0.048745880943251024	0.1332983528973029	0.29646141047891006	0.0	0.006162235396628484
G2-irrelevant-dims	12	slda	100	0.11441717663835616	0.015883686601618954	0.12094566208507321	0.2512465253250484	5.551115123125783e-17	0.004897875044787276
G2-irrelevant-dims	12	qda	0	nan	nan	nan	nan	nan	nan
G2-irrelevant-dims	12	logit_l2	100	0.11441717663835616	0.055726574189873285	0.07255491473128631	0.2426986655595157	5.551115123125783e-17	0.002275411483388788
G2-irrelevant-dims	12	svm_rbf_platt	100	0.11441717663835616	0.112371913293265	0.04088636461884847	0.26767545455046965	0.0	0.005542962168709817
G2-irrelevant-dims	12	hgbt	100	0.11441717663835616	0.01071979950004914	0.11005961603512739	0.23519659217353264	2.7755575615628914e-17	0.007329991600945894
G2-irrelevant-dims	20	lda	100	0.11441717663835616	0.06039340149939851	0.22661409840780894	0.40142467654556363	5.551115123125783e-17	0.007084910691032807
G2-irrelevant-dims	20	slda	100	0.11441717663835616	0.0063877202973245395	0.07417259266093865	0.19497748959661934	0.0	0.0034242916384020126
G2-irrelevant-dims	20	qda	0	nan	nan	nan	nan	nan	nan
G2-irrelevant-dims	20	logit_l2	100	0.11441717663835616	0.034855572323239756	0.06988966774832611	0.21916241670992206	2.7755575615628914e-17	0.002559856778256129
G2-irrelevant-dims	20	svm_rbf_platt	100	0.11441717663835616	0.10082593273708185	0.021071937309904955	0.2363150466853429	5.551115123125783e-17	0.0031859855159180077
G2-irrelevant-dims	20	hgbt	100	0.11441717663835616	0.0037060920135053785	0.10375408003125158	0.2218773486831131	2.7755575615628914e-17	0.00723883444282636
G2-irrelevant-dims	30	lda	100	0.11441717663835616	0.0190434229804212	0.15201410600857013	0.2854747056273475	5.551115123125783e-17	0.004622030027757572
G2-irrelevant-dims	30	slda	100	0.11441717663835616	0.00394777276317657	0.05098430356348689	0.16934925296501963	0.0	0.0027031018371981644
G2-irrelevant-dims	30	qda	0	nan	nan	nan	nan	nan	nan
G2-irrelevant-dims	30	logit_l2	100	0.11441717663835616	0.020933259750211673	0.061043141433962333	0.1963935778225302	2.7755575615628914e-17	0.002504497918207907
G2-irrelevant-dims	30	svm_rbf_platt	100	0.11441717663835616	0.06359421126507496	0.03309893730938985	0.21111032521282092	5.551115123125783e-17	0.0028729964353154534
G2-irrelevant-dims	30	hgbt	100	0.11441717663835616	0.0015696019931305352	0.08704598923305144	0.2030327678645381	2.7755575615628914e-17	0.004960686053421274
G2-irrelevant-dims	60	lda	100	0.11441717663835616	0.0033572409461960578	0.062107404442442185	0.17988182202699446	5.551115123125783e-17	0.0018598610944512508
G2-irrelevant-dims	60	slda	100	0.11441717663835616	0.001199259195613108	0.025414758573453836	0.14103119440742307	2.7755575615628914e-17	0.0013143398197820683
G2-irrelevant-dims	60	qda	100	0.11441717663835616	0.025406345545527516	0.1495954502427341	0.2894189724266178	5.551115123125783e-17	0.0023897073681284605
G2-irrelevant-dims	60	logit_l2	100	0.11441717663835616	0.007311427696851208	0.04261703834186166	0.164345642677069	2.7755575615628914e-17	0.0015331266643343383
G2-irrelevant-dims	60	svm_rbf_platt	100	0.11441717663835616	0.03326946402241281	0.028764302893567673	0.1764509435543366	5.551115123125783e-17	0.00121431618853524
